Spieltag,Team_1,Team_2,Tore_Team_1,Tore_Team_2
06,FC Ingolstadt,FC St. Pauli,0,1
06,SV Sandhausen,1. FC Köln,0,2
06,Holstein Kiel,VfL Bochum,2,2
06,Arminia Bielefeld,1. FC Union Berlin,1,1
06,Dynamo Dresden,SV Darmstadt 98,4,1
06,Hamburger SV,Jahn Regensburg,0,5
06,MSV Duisburg,Erzgebirge Aue,1,2
06,1. FC Heidenheim,SpVgg Greuther Fürth,2,0
06,SC Paderborn 07,1. FC Magdeburg,4,4
10,SV Sandhausen,FC Ingolstadt,4,0
10,Dynamo Dresden,Erzgebirge Aue,1,1
10,Holstein Kiel,1. FC Köln,1,1
10,Arminia Bielefeld,SpVgg Greuther Fürth,2,3
10,1. FC Heidenheim,1. FC Magdeburg,3,0
10,Hamburger SV,VfL Bochum,0,0
10,Jahn Regensburg,SV Darmstadt 98,1,1
10,SC Paderborn 07,1. FC Union Berlin,0,0
10,MSV Duisburg,FC St. Pauli,0,1
12,Dynamo Dresden,SV Sandhausen,3,1
12,SpVgg Greuther Fürth,VfL Bochum,2,2
12,Holstein Kiel,FC Ingolstadt,2,2
12,MSV Duisburg,SC Paderborn 07,2,0
12,SV Darmstadt 98,1. FC Magdeburg,3,1
12,Arminia Bielefeld,FC St. Pauli,1,2
12,Jahn Regensburg,1. FC Union Berlin,1,1
12,1. FC Heidenheim,Erzgebirge Aue,1,0
12,Hamburger SV,1. FC Köln,1,0
15,Erzgebirge Aue,Jahn Regensburg,1,1
15,SC Paderborn 07,Arminia Bielefeld,2,2
15,1. FC Köln,SpVgg Greuther Fürth,4,0
15,1. FC Union Berlin,SV Darmstadt 98,3,1
15,FC Ingolstadt,Hamburger SV,1,2
15,FC St. Pauli,Dynamo Dresden,1,1
15,MSV Duisburg,Holstein Kiel,0,4
15,SV Sandhausen,1. FC Heidenheim,1,2
15,1. FC Magdeburg,VfL Bochum,0,0
