Spieltag,Mannschaft_1,Mannschaft_2,Tore_Mannschaft_1,Tore_Mannschaft_2
13,Eintracht Braunschweig,VfL Osnabrück,3,4
13,KFC Uerdingen,Sportfreunde Lotte,0,2
13,FC Würzburger Kickers,Hallescher FC,1,2
13,SpVgg Unterhaching,Karlsruher SC,0,0
13,SV Wehen Wiesbaden,FSV Zwickau,0,0
13,Hansa Rostock,Fortuna Köln,3,1
13,Energie Cottbus,FC Carl Zeiss Jena,2,1
13,TSV 1860 München,SG Sonnenhof Großaspach,2,2
13,SV Meppen,Preußen Münster,1,2
13,VfR Aalen,1. FC Kaiserslautern,1,2
14,1. FC Kaiserslautern,Energie Cottbus,0,2
14,Preußen Münster,TSV 1860 München,0,0
14,SG Sonnenhof Großaspach,Eintracht Braunschweig,1,1
14,Sportfreunde Lotte,VfR Aalen,1,1
14,FC Carl Zeiss Jena,Hansa Rostock,1,1
14,FSV Zwickau,SpVgg Unterhaching,2,2
14,Karlsruher SC,FC Würzburger Kickers,2,1
14,Hallescher FC,SV Meppen,2,1
14,Fortuna Köln,SV Wehen Wiesbaden,0,7
14,VfL Osnabrück,KFC Uerdingen,2,1
15,FC Würzburger Kickers,FSV Zwickau,0,2
15,Eintracht Braunschweig,KFC Uerdingen,0,2
15,VfR Aalen,VfL Osnabrück,1,1
15,TSV 1860 München,Hallescher FC,1,1
15,SV Meppen,Karlsruher SC,2,3
15,Hansa Rostock,1. FC Kaiserslautern,4,1
15,Energie Cottbus,Sportfreunde Lotte,2,2
15,SpVgg Unterhaching,Fortuna Köln,6,0
15,SG Sonnenhof Großaspach,Preußen Münster,3,1
15,SV Wehen Wiesbaden,FC Carl Zeiss Jena,2,3
16,Sportfreunde Lotte,Hansa Rostock,1,0
16,Hallescher FC,SG Sonnenhof Großaspach,2,0
16,KFC Uerdingen,VfR Aalen,2,0
16,VfL Osnabrück,Energie Cottbus,3,1
16,FC Carl Zeiss Jena,SpVgg Unterhaching,4,5
16,Fortuna Köln,FC Würzburger Kickers,0,0
16,FSV Zwickau,SV Meppen,1,1
16,Karlsruher SC,TSV 1860 München,3,2
16,1. FC Kaiserslautern,SV Wehen Wiesbaden,0,0
16,Preußen Münster,Eintracht Braunschweig,3,0
